iter	Passed	Remaining
207	871	3316
208	874	3309
209	877	3301
210	882	3298
211	885	3292
212	889	3285
213	892	3278
214	897	3275
215	901	3271
216	904	3263
217	908	3257
218	911	3251
219	915	3247
220	919	3240
221	923	3235
222	926	3229
223	931	3227
224	935	3222
225	939	3217
226	943	3213
227	947	3208
228	951	3204
229	956	3202
230	960	3198
231	965	3195
232	970	3193
233	976	3197
234	980	3193
235	985	3189
236	988	3183
237	994	3182
238	998	3177
239	1001	3171
240	1005	3166
241	1010	3164
242	1013	3158
243	1018	3156
244	1023	3154
245	1028	3152
246	1031	3145
247	1035	3138
248	1038	3132
249	1043	3129
250	1047	3124
251	1050	3117
252	1054	3114
253	1059	3112
254	1064	3109
255	1067	3102
256	1071	3099
257	1076	3095
258	1079	3088
259	1082	3081
260	1086	3075
261	1090	3070
262	1093	3064
263	1097	3058
264	1100	3052
265	1105	3051
266	1109	3046
267	1112	3039
268	1116	3033
269	1120	3030
270	1124	3023
271	1127	3016
272	1130	3010
273	1134	3005
274	1138	3002
275	1142	2997
276	1146	2992
277	1150	2988
278	1154	2982
279	1157	2976
280	1160	2970
281	1164	2964
282	1168	2961
283	1172	2956
284	1176	2951
285	1179	2945
286	1184	2942
287	1187	2936
288	1190	2929
289	1195	2926
290	1199	2922
291	1204	2920
292	1208	2914
293	1211	2908
294	1216	2906
295	1220	2902
296	1224	2897
297	1227	2892
298	1232	2889
299	1237	2886
300	1241	2882
301	1248	2884
302	1251	2879
303	1255	2874
304	1259	2869
305	1263	2866
306	1267	2860
307	1270	2854
308	1273	2848
309	1278	2846
310	1282	2842
311	1286	2836
312	1289	2830
313	1294	2827
314	1299	2825
315	1303	2820
316	1306	2814
317	1310	2810
318	1314	2805
319	1318	2801
320	1321	2795
321	1325	2790
322	1329	2787
323	1333	2782
324	1337	2777
325	1341	2773
326	1345	2769
327	1350	2765
328	1353	2759
329	1356	2755
330	1361	2751
331	1365	2746
332	1368	2741
333	1372	2737
334	1377	2734
335	1381	2729
336	1384	2724
337	1388	2718
338	1392	2714
339	1395	2709
340	1399	2704
341	1402	2698
342	1407	2696
343	1411	2691
344	1414	2686
345	1418	2680
346	1422	2677
347	1426	2672
348	1429	2666
349	1433	2661
350	1436	2656
351	1440	2652
352	1444	2648
353	1449	2645
354	1454	2642
355	1458	2638
356	1463	2635
357	1468	2633
358	1473	2631
359	1477	2626
360	1481	2621
361	1485	2618
362	1490	2615
363	1494	2611
364	1498	2607
365	1503	2604
366	1507	2599
367	1512	2597
368	1517	2594
369	1521	2590
370	1525	2586
371	1529	2582
372	1533	2578
373	1538	2575
374	1542	2571
375	1546	2566
376	1551	2563
377	1554	2558
378	1558	2553
379	1561	2548
380	1566	2544
381	1570	2540
382	1574	2536
383	1578	2532
384	1582	2528
385	1586	2523
386	1589	2518
387	1593	2513
388	1597	2508
389	1601	2504
390	1604	2499
391	1608	2494
392	1613	2491
393	1616	2486
394	1620	2481
395	1623	2476
396	1628	2473
397	1632	2469
398	1636	2464
399	1639	2459
400	1643	2455
401	1648	2452
402	1652	2448
403	1655	2442
404	1660	2438
405	1663	2434
406	1667	2428
407	1670	2423
408	1674	2419
409	1679	2416
410	1682	2410
411	1686	2406
412	1689	2400
413	1693	2397
414	1696	2391
415	1700	2387
416	1704	2382
417	1708	2378
418	1711	2373
419	1715	2368
420	1718	2363
421	1721	2358
422	1725	2353
423	1728	2348
424	1732	2343
425	1735	2339
426	1740	2335
427	1744	2331
428	1748	2326
429	1751	2321
430	1755	2318
431	1759	2313
432	1762	2308
433	1766	2303
434	1769	2298
435	1773	2294
436	1776	2289
437	1781	2285
438	1785	2281
439	1789	2277
440	1792	2271
441	1795	2266
442	1798	2261
443	1802	2256
444	1805	2252
445	1808	2247
446	1812	2241
447	1816	2237
448	1820	2233
449	1824	2229
450	1828	2226
451	1834	2224
452	1841	2223
453	1846	2221
454	1852	2219
455	1858	2217
456	1863	2213
457	1869	2212
458	1875	2210
459	1880	2207
460	1886	2205
461	1891	2202
462	1896	2199
463	1902	2197
464	1906	2193
465	1911	2189
466	1918	2189
467	1922	2185
468	1927	2182
469	1932	2179
470	1938	2177
471	1957	2190
472	1963	2187
473	1968	2184
474	1975	2183
475	1981	2181
476	1985	2177
477	1990	2173
478	1994	2169
479	1999	2166
480	2004	2162
481	2009	2159
482	2016	2158
483	2021	2155
484	2025	2151
485	2029	2146
486	2034	2143
487	2037	2138
488	2041	2133
489	2047	2131
490	2053	2128
491	2057	2124
492	2062	2120
493	2066	2116
494	2069	2111
495	2072	2106
496	2077	2102
497	2080	2097
498	2084	2092
499	2088	2088
500	2093	2085
501	2097	2080
502	2100	2075
503	2104	2070
504	2107	2065
505	2111	2061
506	2115	2056
507	2118	2051
508	2122	2047
509	2126	2043
510	2131	2039
511	2135	2035
512	2139	2031
513	2143	2026
514	2147	2022
515	2151	2017
516	2155	2013
517	2159	2009
518	2162	2004
519	2166	1999
520	2169	1994
521	2174	1991
522	2178	1986
523	2181	1981
524	2185	1977
525	2191	1974
526	2194	1969
527	2197	1964
528	2200	1959
529	2204	1954
530	2207	1950
531	2211	1945
532	2214	1940
533	2217	1935
534	2232	1940
535	2235	1935
536	2240	1931
537	2244	1927
538	2247	1922
539	2250	1917
540	2255	1913
541	2259	1909
542	2263	1904
543	2266	1899
544	2270	1895
545	2274	1890
546	2277	1886
547	2280	1881
548	2284	1876
549	2288	1872
550	2292	1868
551	2296	1863
552	2300	1859
553	2304	1855
554	2308	1851
555	2312	1846
556	2316	1842
557	2321	1839
558	2327	1835
559	2330	1831
560	2335	1827
561	2340	1823
562	2343	1818
563	2346	1813
564	2350	1809
565	2355	1805
566	2358	1800
567	2361	1796
568	2365	1791
569	2368	1787
570	2372	1782
571	2375	1777
572	2378	1772
573	2382	1767
574	2385	1763
575	2388	1758
576	2391	1753
577	2395	1748
578	2398	1744
579	2402	1739
580	2405	1734
581	2409	1730
582	2412	1725
583	2416	1721
584	2421	1717
585	2425	1713
586	2429	1709
587	2432	1704
588	2436	1700
589	2440	1695
590	2444	1691
591	2448	1687
592	2452	1682
593	2456	1678
594	2461	1675
595	2464	1670
596	2467	1665
597	2470	1661
598	2474	1656
599	2478	1652
600	2481	1647
601	2485	1643
602	2488	1638
603	2492	1634
604	2495	1629
605	2499	1624
606	2502	1620
607	2507	1616
608	2511	1612
609	2514	1607
610	2518	1603
611	2522	1599
612	2525	1594
613	2529	1589
614	2532	1585
615	2535	1580
616	2539	1576
617	2543	1571
618	2546	1567
619	2550	1562
620	2553	1558
621	2557	1554
622	2561	1550
623	2564	1545
624	2567	1540
625	2572	1536
626	2575	1532
627	2578	1527
628	2582	1523
629	2586	1519
630	2591	1515
631	2594	1510
632	2598	1506
633	2603	1502
634	2606	1498
635	2610	1493
636	2613	1489
637	2616	1484
638	2620	1480
639	2624	1476
640	2627	1471
641	2631	1467
642	2635	1463
643	2638	1458
644	2641	1454
645	2645	1449
646	2649	1445
647	2653	1441
648	2657	1437
649	2660	1432
650	2665	1428
651	2669	1424
652	2673	1420
653	2678	1417
654	2682	1413
655	2686	1408
656	2689	1404
657	2694	1400
658	2699	1396
659	2703	1392
660	2708	1388
661	2712	1385
662	2717	1381
663	2721	1377
664	2727	1373
665	2731	1369
666	2735	1365
667	2739	1361
668	2742	1357
669	2747	1353
670	2750	1348
671	2754	1344
672	2757	1339
673	2762	1336
674	2766	1332
675	2770	1327
676	2774	1323
677	2779	1319
678	2783	1315
679	2786	1311
680	2790	1306
681	2795	1303
682	2798	1299
683	2802	1294
684	2806	1290
685	2811	1286
686	2815	1282
687	2819	1278
688	2823	1274
689	2828	1270
690	2832	1266
691	2836	1262
692	2840	1258
693	2845	1254
694	2849	1250
695	2852	1246
696	2857	1242
697	2862	1238
698	2866	1234
699	2873	1231
700	2878	1227
701	2886	1225
702	2893	1222
703	2899	1219
704	2905	1215
705	2911	1212
706	2918	1209
707	2923	1205
708	2928	1202
709	2933	1198
710	2939	1194
711	2944	1191
712	2948	1186
713	2954	1183
714	2959	1179
715	2962	1175
716	2966	1170
717	2972	1167
718	2976	1163
719	2982	1159
720	2987	1156
721	2992	1152
722	2996	1147
723	3000	1143
724	3006	1140
725	3011	1136
726	3015	1132
727	3020	1128
728	3024	1124
729	3029	1120
730	3040	1118
731	3045	1115
732	3052	1112
733	3059	1108
734	3066	1105
735	3073	1102
736	3080	1099
737	3086	1095
738	3093	1092
739	3099	1088
740	3106	1085
741	3113	1082
742	3119	1079
743	3125	1075
744	3131	1072
745	3139	1068
746	3146	1065
747	3152	1062
748	3159	1058
749	3165	1055
750	3171	1051
751	3176	1047
752	3182	1043
753	3188	1040
754	3194	1036
755	3200	1033
756	3206	1029
757	3213	1025
758	3218	1021
759	3224	1018
760	3229	1014
761	3236	1010
762	3241	1006
763	3249	1003
764	3255	999
765	3261	996
766	3266	992
767	3272	988
768	3277	984
769	3282	980
770	3288	976
771	3294	972
772	3298	968
773	3303	964
774	3307	960
775	3311	955
776	3315	951
777	3319	947
778	3324	943
779	3329	939
780	3333	934
781	3339	930
782	3343	926
783	3348	922
784	3352	918
785	3359	914
786	3364	910
787	3368	906
788	3373	902
789	3377	897
790	3381	893
791	3386	889
792	3390	885
793	3396	881
794	3400	876
795	3406	872
796	3410	868
797	3415	864
798	3420	860
799	3424	856
800	3428	851
801	3433	847
802	3439	843
803	3443	839
804	3448	835
805	3452	830
806	3455	826
807	3459	822
808	3463	817
809	3467	813
810	3470	808
811	3474	804
812	3477	799
813	3482	795
814	3486	791
815	3489	786
816	3493	782
817	3496	778
818	3501	773
819	3504	769
820	3508	764
821	3512	760
822	3517	756
823	3520	752
824	3524	747
825	3528	743
826	3532	738
827	3536	734
828	3540	730
829	3544	726
830	3549	721
831	3553	717
832	3557	713
833	3561	708
834	3565	704
835	3570	700
836	3575	696
837	3579	691
838	3583	687
839	3587	683
840	3590	678
841	3595	674
842	3600	670
843	3604	666
844	3608	662
845	3612	657
846	3616	653
847	3620	648
848	3624	644
849	3629	640
850	3633	636
851	3637	631
852	3642	627
853	3647	623
854	3651	619
855	3655	614
856	3660	610
857	3663	606
858	3667	601
859	3671	597
860	3675	593
861	3679	589
862	3683	584
863	3688	580
864	3692	576
865	3695	571
866	3700	567
867	3705	563
868	3709	559
869	3713	554
870	3717	550
871	3722	546
872	3727	542
873	3731	537
874	3734	533
875	3738	529
876	3743	525
877	3748	520
878	3753	516
879	3757	512
880	3762	508
881	3768	504
882	3772	499
883	3777	495
884	3781	491
885	3786	487
886	3791	482
887	3795	478
888	3800	474
889	3805	470
890	3810	466
891	3814	461
892	3819	457
893	3824	453
894	3828	449
895	3834	445
896	3839	440
897	3845	436
898	3850	432
899	3855	428
900	3859	424
901	3864	419
902	3868	415
903	3872	411
904	3876	406
905	3882	402
906	3888	398
907	3896	394
908	3902	390
909	3908	386
910	3914	382
911	3920	378
912	3924	374
913	3932	370
914	3938	365
915	3945	361
916	3951	357
917	3956	353
918	3963	349
919	3968	345
920	3978	341
921	3983	337
922	3989	332
923	3995	328
924	4001	324
925	4006	320
926	4012	315
927	4017	311
928	4023	307
929	4029	303
930	4035	299
931	4042	294
932	4047	290
933	4053	286
934	4059	282
935	4065	278
936	4072	273
937	4077	269
938	4083	265
939	4089	261
940	4097	256
941	4103	252
942	4108	248
943	4114	244
944	4120	239
945	4126	235
946	4131	231
947	4136	226
948	4140	222
949	4144	218
950	4148	213
951	4153	209
952	4157	205
953	4162	200
954	4166	196
955	4170	191
956	4174	187
957	4177	183
958	4181	178
959	4185	174
960	4189	170
961	4192	165
962	4196	161
963	4201	156
964	4204	152
965	4207	148
966	4210	143
967	4214	139
968	4217	134
969	4221	130
970	4224	126
971	4228	121
972	4231	117
973	4236	113
974	4239	108
975	4242	104
976	4246	99
977	4250	95
978	4253	91
979	4256	86
980	4260	82
981	4264	78
982	4269	73
983	4272	69
984	4275	65
985	4280	60
986	4284	56
987	4288	52
988	4291	47
989	4296	43
990	4300	39
991	4303	34
992	4306	30
993	4310	26
994	4313	21
995	4316	17
996	4320	12
997	4323	8
998	4327	4
999	4332	0
