iter	RMSE
0	1.091689254
1	1.036972984
2	0.9878909511
3	0.9445173216
4	0.9062846982
5	0.8717051112
6	0.8413808306
7	0.8146087061
8	0.7894598538
9	0.7660268601
10	0.7477017582
11	0.7308990208
12	0.7151309512
13	0.6989328843
14	0.6867883397
15	0.6759699951
16	0.6651166233
17	0.6571728389
18	0.6463810375
19	0.6402148123
20	0.633928115
21	0.6287655276
22	0.6239935109
23	0.6193500719
24	0.6143883975
25	0.6107119712
26	0.6043943567
27	0.6008739187
28	0.5969139218
29	0.5934881956
30	0.590838272
31	0.5845939045
32	0.5817774491
33	0.5793137875
34	0.5736924312
35	0.5700361492
36	0.5663642564
37	0.562704621
38	0.5593843339
39	0.5582163736
40	0.556403184
41	0.5550796628
42	0.5518105898
43	0.5489742279
44	0.5476687032
45	0.5451555373
46	0.5425684987
47	0.5407407751
48	0.539179956
49	0.5379512372
50	0.5355144493
51	0.5336252116
52	0.531495488
53	0.5302490916
54	0.5281633507
55	0.5270641046
56	0.5256397975
57	0.5245363205
58	0.5235162422
59	0.5221480834
60	0.521043653
61	0.5198917255
62	0.5186271996
63	0.5166794518
64	0.5151791952
65	0.514547754
66	0.5132971682
67	0.5124743151
68	0.5114432539
69	0.5105076532
70	0.5100202593
71	0.5091650793
72	0.5086193127
73	0.5081300593
74	0.5074489113
75	0.5061309751
76	0.5054711666
77	0.5043417826
78	0.5034526692
79	0.5020732489
80	0.5008050905
81	0.4996539645
82	0.498869477
83	0.4980280776
84	0.4971696983
85	0.496398386
86	0.4954440886
87	0.4944769813
88	0.4938748762
89	0.4932574094
90	0.4925640155
91	0.4921187221
92	0.4914976438
93	0.4907730458
94	0.4900919162
95	0.4894729035
96	0.488682554
97	0.4879431861
98	0.4871704392
99	0.4864939095
100	0.4856977035
101	0.485337648
102	0.4843464813
103	0.4838244426
104	0.4827510378
105	0.4817019593
106	0.4810876499
107	0.480241029
108	0.4794603189
109	0.4790543866
110	0.4785174547
111	0.4780789359
112	0.4773948897
113	0.4768993592
114	0.4762463085
115	0.475739156
116	0.4751172672
117	0.4745072444
